question,semantic_similarity,answer,ground_truth,contexts
What happens to an incomplete grade if the student has not completed the course requirements prior to the end of the next semester?,1.0,The grade is automatically converted to zero.,The grade is automatically converted to zero.,"proven medical or personal reasons). The procedure for incomplete grades is as follows: * The professor, with the approval of the Department Chairman, informs the Graduate School in writing. * A date is given for completion of the course requirements, which cannot be later than the end of the next semester. * If the student has not completed the course requirements prior to the end of the next semester, the grade is automatically converted to zero Postponement of Studies before beginning of semester Any student may apply to postpone their studies for one or two semesters. The total period of postponement cannot exceed two semesters An application for postponement, documented and accompanied by all supporting documents, is submitted to the Department Board before the beginning of the requested period The Department Board examines the application and decides by simple majority whether or not to approve it The Department Chairman informs the student in writing of the decision of the Department Board. The decision is communicated to the Dean of the Graduate School.\n---\nFinal exams must be scheduled during the examination period. **Incomplete Grade** The grade of ‘incomplete’ is given only in exceptional cases (e.g., medical or personal reasons). Students who wish to take an ‘incomplete’ grade must: 1. fill in the appropriate form ( given to them by their professor) and submit a copy to both the Departmental Board and the Academic Affairs and Student Welfare Service after the approval of the Department Chairman; 2. complete the course requirements before the end of the following semester. Any ‘incomplete’ grade that is not completed within the time requirements will automatically become a grade of zero. **The Grading System** The grading system is numerical and ranges from 0 to 10, with increments of 0.5. The minimum passing grade is 5.0. The Grade Point Average (GPA) is calculated on the basis of the average grades for all courses.\n---\n**Registration** Course Registration is held the week prior to the beginning of each semester. Information on registration procedures as well as the registration form can be found in the Schedule of Classes, which is publicly announced by the Academic Affairs and Student Welfare Service every semester. **Course Changes** Students may add or drop courses in the second week of each semester. No courses may be added after this time, although courses may be dropped without notation on the students’ record. **Course Withdrawal** From the fourth until the seventh week of a semester only withdrawal from a course is permitted. This is noted on the student’s academic record. To officially withdraw from a course students must fill out the appropriate form and submit it to Academic Affairs and Student Welfare Service. A student who does not officially withdraw, who does not attend the course or who does not take the course examinations is graded with zero.\n---\n* The writing of a Postgraduate Dissertation is a requirement of the study programme attended by the student, and the student has failed to defend the Dissertation successfully for a second time. * The student has not enrolled for courses for two successive semesters and written attempts by the University to communicate with the student failed. In such a case, a decision by the Department’s Board is required as well as the approval of the Dean of the Graduate School. Ex Officio Termination of Studies of Doctoral Student The studies of a doctoral student who has not fully satisfied the requirements of the programme of study which he/she is attending, is terminated ex officio, without the award of a PhD, if: * the student has completed a total of sixteen semesters of studies; Provided that semesters during which the student’s studies were suspended, are not in the sixteen semesters.\n---\nο οποίος δεν έχει ικανοποιήσει πλήρως τις απαιτήσεις του προγράμματος σπουδών, το οποίο παρακολουθεί, τερματίζεται αυτοδικαίως, χωρίς την απονομή Πτυχίου σε αυτόν,"
How can one contact the Information Office of the Graduate School for further details about the Diploma Supplement?,0.9314367175102234,"email: [[email protected]](/cdn-cgi/l/email-protection), or call at: +00357 22 894044.","For further details please contact the Information Office of the Graduate School at: [[email protected]](/cdn-cgi/l/email-protection), or call at: +00357 22 894044.","# Diploma Supplement All the students of the University of Cyprus upon graduation on undergraduate and postgraduate level (Master’s degree) receive a copy of a Diploma Supplement automatically and free of charge. The Diploma Supplement-DS is a document attached to a higher education diploma aiming at improving international transparency and facilitating the academic and proffessional recognition of qualifications. The DS provides a standardised description of the nature, level, context, content and status of the studies completed by its holder. For further details please contact the Information Office of the Graduate School at: [[email protected]](/cdn-cgi/l/email-protection), or call at: +00357 22 894044. [Postgraduate Diploma Supplement](https://www.ucy.ac.cy/graduateschool/wp-content/uploads/sites/45/2022/01/Diploma_Supplement.pdf)\n---\n# Postgraduate Programmes Places * [Apply Now](#tab-68152f1410251-1) * [How to Apply](#tab-68152f1410251-2) * [Postgraduate Programmes](#tab-68152f1410251-3) * [Postgraduate Programme Places](#tab-68152f1410251-4) * [Extension of Deadline for Submission of Applications](#tab-68152f1410251-5) * [Recommendation Letters](#tab-68152f1410251-6) * [Application requirements](#tab-68152f1410251-7) * [Frequently Αsked Questions (FAQs)](#tab-68152f1410251-8) [### Apply Now !\n---\nThose students who wish to enroll to over 30 ECTS they should complete the [special registration form](https://www.ucy.ac.cy/graduateschool/wp-content/uploads/sites/45/2022/03/entypo-gia-eggrafi-se-peran-ton-45-english.docx) which could be found in the announcements of the webpage of the Graduate School and submit it to the Graduate School.\n---\nThe grade average for each course in ECTS numbers is contained in the Department’s Prospectus and the transcript of grades. In addition, all Master’s degree graduates receive a free Diploma Supplement in English language. Students are entitled to ask for clarifications from the professor regarding matters of their final grades. If the professor refuses to discuss the matter with the student, the student has the right to ask for them from the Department Chairman. Plagiarism **Plagiarism**: the appropriation and/or incorporation in a paper of ideas whether verbatim or paraphrased, extracts and/or isolated phrases of the work of another person without reference to the source or through misleading or inadequate reference to the primary source.\n---\nRegistration in a minor programme is allowed from the third semester of studies. The application form must be submitted to the Academic Affairs and Student Welfare Service by the 15th of December. **Certification of Attendance** At the end of the 5th week of each semester, the Academic Affairs and Student Welfare Service issues a Certification of Attendance to all registered undergraduate and postgraduate students. Students, must have this Certification to receive the annual education grant given by the Ministry of Finance in the Spring Semester. The cost for additional certifications is €2 (for original certifications) and €1 (for each certified copy of the original certificate). **Student Card** A Student card is issued for all registered students, which permits them to use the Library facilities and computer services. The cost for the card is €12 (for students). Undergraduate students receive their Student card at the beginning of the fall semester."
What happens to the tuition fees paid if a student leaves the University after the 4th week of classes?,0.9234457015991211,The tuition fees he/she has already paid are not refundable.,Any fees paid are not refunded.,"The advance payment of tuition fees is not refundable. If the student leaves the University of Cyprus after the 4th week from the beginning of the courses, the tuition fees he/she has already paid are not refundable (Self-funded programmes for which different deadlines are set are excluded from this rule). + Students who have not paid all fees by the specified deadline ( May 31 or January 31) in their graduation year will not have a right to take part in the Graduation Ceremony and receive their diploma. + The down-payment of fees (€500 ) paid by the student upon acceptance of the place at the University is not refunded. + The University may cancel the student's enrolment in courses, if it finds that the student has not paid the amount of fees required prior to enrolment.\n---\nRegistration in the continuation of the master's thesis is not charged with additional tuition. * Course failure is not charged extra. * A student who has not registered for his/her courses within the period as defined by the academic calendar, pays a late registration fee of €50 per course which is submitted in favor of the Student Welfare Fund. * In case the student leaves the University up to the 4th week from the beginning of the courses of each semester, the amount of €700 paid prior to enrolment might be refunded. The advance payment of tuition fees is not refundable. If the student leaves the University of Cyprus after the 4th week from the beginning of the courses, the tuition fees he/she has already paid are not refundable (Self-funded programmes for which different deadlines are set are excluded from this rule). * The University may cancel student enrollment when it is determined that the student has not paid the amount of tuition required prior to enrollment.\n---\n* No additional fees are paid for enrollment in the comprehensive examination. * In case a PhD student leaves the University up to the 4th week from the beginning of the classes of each semester, the amount of €500 or €600 paid prior to enrolment might be refunded. The advance payment of tuition fees is not refundable. If the student leaves the University of Cyprus after the 4th week from the beginning of the courses, the tuition fees he/she has already paid are not refundable (Self-funded programmes for which different deadlines are set are excluded from this rule). * Students who have not paid all fees by the specified deadline ( May 31 or January 31) in their graduation year will not have a right to take part in the Graduation Ceremony and receive their diploma. * The down-payment of fees (€500 ) paid by the student upon acceptance of the place at the University is not refunded.\n---\n**2nd – 10thsemester:** €600 at the beginning of the semester, before registration in courses. * Α PhD student who has not registered for his / her courses (or at the research stage or the stage of writing the Doctoral Dissertation) within the period as defined by the academic calendar and wants to register within the semester, then pays for delayed registration a fine of €50 per course. The fine is deposited with the Student Welfare Fund. * Course failure is not charged with extra tuition. * A PhD student who has left out of a course is not charged extra tuition. The tuition fees that may have been paid will be credited to his account for the next semester. * No additional fees are paid for enrollment in the comprehensive examination.\n---\nto midnight.** **Drop a course:** Students can drop a course **from Monday 3rd of February 2025 until Friday 7th of February 2025 from 9.30 a.m. to midnight.** **Withdrawal a course:** Students can leave a course **from the 10th of February 20245 until the 7th of March 2025.** This leaving is recorded in the student's transcript as withdrawal. Students who choose to withdraw from a course should inform the Graduate School. During their studies, postgraduate students should pay a lump sum for the student’s solidarity fund “Neophytos Handriotis” (in Greek). PhD students will pay €40 and Master's degree students €20. For the completion of the payment you should have a user account at the University of Cyprus as well as a user account at JCC."
What is the URL for international support at UCY?,0.9963438510894775,www.ucy.ac.cy/internationalsupport/,ucy.ac.cy/internationalsupport,For more details regarding immigration requirements and visa issues please visit the webpage [www.ucy.ac.cy/internationalsupport/](https://www.ucy.ac.cy/internationalsupport/) or send an email to [[email protected]](/cdn-cgi/l/email-protection#02746b71634277617b2c63612c617b).\n---\n[![](https://www.ucy.ac.cy/internationalsupport/wp-content/uploads/sites/117/2024/06/International_Students_Icon_-_1500_x_1000-300x200.jpg)](https://www.ucy.ac.cy/internationalsupport/international-students/) [![](https://www.ucy.ac.cy/internationalsupport/wp-content/uploads/sites/117/2024/12/7.png)](https://www.ucy.ac.cy/internationalsupport/faq/) [![](https://www.ucy.ac.cy/internationalsupport/wp-content/uploads/sites/117/2024/12/8.png)](https://www.ucy.ac.cy/internationalsupport/forms/) [!\n---\n[](https://www.ucy.ac.cy/internationalsupport/wp-content/uploads/sites/117/2024/12/9.png)](https://www.ucy.ac.cy/internationalsupport/useful-links/) [![](https://www.ucy.ac.cy/internationalsupport/wp-content/uploads/sites/117/2024/12/10.png)](https://www.ucy.ac.cy/internationalsupport/employment/) [![](https://www.ucy.ac.cy/internationalsupport/wp-content/uploads/sites/117/2024/12/11.png)](https://www.ucy.ac.cy/internationalsupport/visiting-hours-kai-appointment/) ## [News and Events](https://www.ucy.ac.cy/internationalsupport/news-and-events/)\n---\nac.cy/environment) * [Academic Calendar](https://www.ucy.ac.cy/aasw/academic-calendar/?lang=en) #### TOOLS * [A-Z Directory](https://www.ucy.ac.cy/about/contact-us/university-a-z/?lang=en) * [Staff Catalogue](https://www.ucy.ac.cy/directory/en) * [Events Calendar (GR)](http://applications.ucy.ac.cy/public/events/displayCalendar_allusers) * [List of Experts](https://www.ucy.ac.cy/pr/ucy-experts/?lang=en) * [BannerWeb](https://www.ucy.ac.cy/aasw/bannerweb/?lang=en) * [Maps](https://www.ucy.ac.cy/ts/ucy-map/?lang=en) * [ePhoto Gallery](https://www.ucy.ac.\n---\nucy.ac.cy/internationalsupport/eu-citizens/residence-permit/) * [UCY SERVICES](https://www.ucy.ac.cy/internationalsupport/ucy-services/) ✕ ![](https://www.ucy.ac.cy/internationalsupport/wp-content/uploads/sites/117/2024/07/image2918-3.jpg)![](https://www.ucy.ac.cy/internationalsupport/wp-content/uploads/sites/117/2024/07/ls-project-1-slide-1.jpg) ![](https://www.ucy.ac.cy/internationalsupport/wp-content/uploads/sites/117/2024/07/image2280-2.jpg)![](https://www.ucy.ac.cy/internationalsupport/wp-content/uploads/sites/117/2024/07/ls-project-1-slide-2.jpg) !
On what date was the meeting for the medieval agriculture on the river held?,1.0000001192092896,"19 Ιουνίου, 2019","19 Ιουνίου, 2019","[](https://www.ucy.ac.cy/conservation/wp-content/uploads/sites/83/2022/01/Invitation-480x360.png)](https://www.ucy.ac.cy/conservation/meeting-for-the-medieval-agriculture-on-the-river/) ##### [ΗΜΕΡΙΔΑ ΓΙΑ ΤΗ ΜΕΣΑΙΩΝΙΚΗ ΑΓΡΕΠΑΥΛΗ ΣΤΗΝ ΠΟΤΑΜΙΑ](https://www.ucy.ac.cy/conservation/meeting-for-the-medieval-agriculture-on-the-river/) 19 Ιουνίου, 2019 [0](https://www.ucy.ac.\n---\nucy.ac.cy/byz/colloquium-of-byzantine-and-medieval-studies/?lang=en) September 18, 2024 [0](https://www.ucy.ac.cy/byz/colloquium-of-byzantine-and-medieval-studies/?lang=en#respond) [0](#) * ##### [Representing Friendships: Narrative Uses of Friendship in the Middle Ages](https://www.ucy.ac.cy/byz/representing-friendships/?lang=en) January 5, 2024 [0](https://www.ucy.ac.cy/byz/representing-friendships/?lang=en#respond) [0](#) * ##### [Vom Codex zur Edition – From Manuscripts to Books](https://www.ucy.ac.cy/byz/vom-codex-zur/?lang=en) January 5,\n---\n[](https://www.ucy.ac.cy/byz/wp-content/uploads/sites/97/2025/01/Colloquium_Heading_EN-480x239.jpg)](https://www.ucy.ac.cy/byz/colloquium-of-byzantine-and-medieval-studies-2/?lang=en) ##### [Colloquium of Byzantine and Medieval Studies](https://www.ucy.ac.cy/byz/colloquium-of-byzantine-and-medieval-studies-2/?lang=en) January 30, 2025 [0](https://www.ucy.ac.cy/byz/colloquium-of-byzantine-and-medieval-studies-2/?lang=en#respond) [0](#) * ##### [Colloquium of Byzantine and Medieval Studies](https://www.ucy.ac.\n---\n2019 [0](https://www.ucy.ac.cy/conservation/meeting-for-the-medieval-agriculture-on-the-river/#respond) [0](#) [](https://www.ucy.ac.cy/conservation/wp-content/uploads/sites/83/2022/03/20220219SmartRehabilitation3_GreekSubs.mp4) #### Επικοινωνία **Τμήμα Πολιτικών Μηχανικών και Μηχανικών Περιβάλλοντος (ΠΜΜΠ)** email: [[email protected]](/cdn-cgi/l/email-protection) Τηλ: 22 89 2249 **Τμήμα\n---\n[EN](https://www.ucy.ac.cy/mhc/wp-content/plugins/sitepress-multilingual-cms/res/flags/en.png)](https://www.ucy.ac.cy/mhc/meeting-arrangements/?lang=en)"
Τι είναι το Διατμηματικό Πρόγραμμα;,1.0000001192092896,«Συντήρηση και Αποκατάσταση Ιστορικών Κτηρίων και Συνόλων»,«Συντήρηση και Αποκατάσταση Ιστορικών Κτηρίων και Συνόλων»,"«Συντήρηση και Αποκατάσταση Ιστορικών Κτηρίων και Συνόλων» Διατμηματικό Πρόγραμμα ![](https://www.ucy.ac.cy/conservation/wp-content/uploads/sites/83/2024/06/10.webp) . «Συντήρηση και Αποκατάσταση Ιστορικών Κτηρίων και Συνόλων» Διατμηματικό Πρόγραμμα !\n---\n«Συντήρηση και Αποκατάσταση Ιστορικών Κτηρίων και Συνόλων» Διατμηματικό Πρόγραμμα ![](https://www.ucy.ac.cy/conservation/wp-content/uploads/sites/83/2024/06/7.webp) . «Συντήρηση και Αποκατάσταση Ιστορικών Κτηρίων και Συνόλων» Διατμηματικό Πρόγραμμα !\n---\n[](https://www.ucy.ac.cy/conservation/wp-content/uploads/sites/83/2024/06/11.webp) . «Συντήρηση και Αποκατάσταση Ιστορικών Κτηρίων και Συνόλων» Διατμηματικό Πρόγραμμα ## Γενικές Πληροφορίες Το Διατμηματικό Μεταπτυχιακό Πρόγραμμα “Συντήρηση και Αποκατάσταση\n---\nΕίμαστε εδώ για να σας βοηθήσουμε όσο το δυνατό μπορούμε για να βρείτε το δικό σας χώρο διαμονής! **Αρχικά κάνετε στον εαυτό σας τις εξής ερωτήσεις** - Σε ποιο Τμήμα ανήκετε;\n---\nΟ αριθμός των μαθημάτων ελεύθερης επιλογής σε συγκεκριμένο πρόγραμμα σπουδών προσδιορίζεται στο αναλυτικό πρόγραμμα. Σε περίπτωση διατμηματικών προγραμμάτων που προσφέρονται μεταξύ δύο διαφορετικών Σχολών,"
Πότε γίνεται η εισδοχή για τους υποψηφίους που έχουν ολοκληρώσει τουλάχιστον ένα εξάμηνο φοίτησης;,0.9423652291297913,"περί τα μέσα Μαρτίου, αρχές Ιουλίου και μέσα Οκτωβρίου εκάστου έτους","Περί τα μέσα Μαρτίου, αρχές Ιουλίου και μέσα Οκτωβρίου εκάστου έτους, για εισδοχή από το επόμενο ακαδημαϊκό εξάμηνο.","για υποψηφίους που έχουν ολοκληρώσει τουλάχιστον ένα εξάμηνο φοίτησης - περί τα μέσα Μαρτίου, αρχές Ιουλίου και μέσα Οκτωβρίου εκάστου έτους, για εισδοχή από το επόμενο ακαδημαϊκό εξάμηνο,\n---\nγια υποψηφίους που έχουν ολοκληρώσει τουλάχιστον ένα εξάμηνο φοίτησης - περί τα μέσα Μαρτίου, αρχές Ιουλίου και μέσα Οκτωβρίου εκάστου έτους, για εισδοχή από το επόμενο ακαδημαϊκό εξάμηνο,\n---\nγια υποψηφίους που έχουν ολοκληρώσει τουλάχιστον ένα εξάμηνο φοίτησης - περί τα μέσα Μαρτίου, αρχές Ιουλίου και μέσα Οκτωβρίου εκάστου έτους, για εισδοχή από το επόμενο ακαδημαϊκό εξάμηνο,\n---\nΦοιτητές άλλων ιδρυμάτων τριτοβάθμιας εκπαίδευσης που βρίσκονται στην έναρξη της φοίτησης τους ή που έχουν ολοκληρώσει τουλάχιστον ένα εξάμηνο φοίτησης στο ίδρυμα προέλευσης τους.\n---\nΦοιτητές άλλων ιδρυμάτων τριτοβάθμιας εκπαίδευσης που βρίσκονται στην έναρξη της φοίτησης τους ή που έχουν ολοκληρώσει τουλάχιστον ένα εξάμηνο φοίτησης στο ίδρυμα προέλευσης τους."
Ποιες μονάδες θεωρούνται ως ανεξάρτητες Σχολές για τα μαθήματα ελεύθερης επιλογής;,0.9890866875648499,"Το Συμβούλιο Αθλητισμού, το Κέντρο Γλωσσών και το Κέντρο Επιχειρηματικότητας","Το Συμβούλιο Αθλητισμού, το Κέντρο Γλωσσών και το Κέντρο Επιχειρηματικότητας.","Τα μαθήματα ελεύθερης επιλογής που προσφέρονται από το Συμβούλιο Αθλητισμού, το Κέντρο Γλωσσών και το Κέντρο Επιχειρηματικότητας θα θεωρούνται ότι ανήκουν σε δικές τους ανεξάρτητες Σχολές.\n---\nΓια όσα Τμήματα απαιτούν να έχουν τρία (3) μαθήματα ελεύθερης επιλογής, αυτά πρέπει να επιλέγονται από δύο (2) τουλάχιστον διαφορετικές Σχολές και όσα έχουν τέσσερα (4) μαθήματα και άνω,\n---\nαπό τρεις (3) τουλάχιστον διαφορετικές Σχολές. Η οικεία Σχολή μπορεί να είναι η μία από τις Σχολές.\n---\nΟ αριθμός των μαθημάτων ελεύθερης επιλογής σε συγκεκριμένο πρόγραμμα σπουδών προσδιορίζεται στο αναλυτικό πρόγραμμα. Σε περίπτωση διατμηματικών προγραμμάτων που προσφέρονται μεταξύ δύο διαφορετικών Σχολών,\n---\nΕγγραφή σε μαθήματα. Ο κάθε απόφοιτος έχει το δικαίωμα να επιλέγει μαθήματα από οποιοδήποτε πρόγραμμα σπουδών επιθυμεί, με την προϋπόθεση ότι υπάρχουν κενές θέσεις."
How much does it cost for a postgraduate student to obtain an additional Certification of Attendance?,1.0000001192092896,€2,€2,"**2nd – 10thsemester:** €600 at the beginning of the semester, before registration in courses. * Α PhD student who has not registered for his / her courses (or at the research stage or the stage of writing the Doctoral Dissertation) within the period as defined by the academic calendar and wants to register within the semester, then pays for delayed registration a fine of €50 per course. The fine is deposited with the Student Welfare Fund. * Course failure is not charged with extra tuition. * A PhD student who has left out of a course is not charged extra tuition. The tuition fees that may have been paid will be credited to his account for the next semester. * No additional fees are paid for enrollment in the comprehensive examination.\n---\nRegistration in a minor programme is allowed from the third semester of studies. The application form must be submitted to the Academic Affairs and Student Welfare Service by the 15th of December. **Certification of Attendance** At the end of the 5th week of each semester, the Academic Affairs and Student Welfare Service issues a Certification of Attendance to all registered undergraduate and postgraduate students. Students, must have this Certification to receive the annual education grant given by the Ministry of Finance in the Spring Semester. The cost for additional certifications is €2 (for original certifications) and €1 (for each certified copy of the original certificate). **Student Card** A Student card is issued for all registered students, which permits them to use the Library facilities and computer services. The cost for the card is €12 (for students). Undergraduate students receive their Student card at the beginning of the fall semester.\n---\nA doctoral student who in a given semester is at the research stage or the stage of writing the Doctoral Dissertation, is considered for that semester to have a workload equivalent to 30 ECTS. The student must register in one of these stages. Certification of Attendance At the end of the third week of each semester, a Certification of Attendance is issued to all registered postgraduate students. Students, must have this Certification to receive the annual education grant given by the Ministry of Finance in the Spring Semester. Students wishing to obtain additional certificates should apply to the Academic Affairs and Student Welfare Service. The cost for additional certifications is €2 . Grading System The awarding of grades is the exclusive right of the professor. Changes of grades by the professor are possible only in cases of an error and only with the written approval of the Chairperson of Department and the Dean of the relevant Faculty, no later than 15 days after publication of the grades.\n---\n* The University may cancel the student's enrolment in courses, if it finds that the student has not paid the amount of fees required prior to enrolment. Programme of Clinical Psychology (for all PhD Students): In addition to graduate tuition, a clinical practicum fee of €1000 is charged in the Applied PhD level Programme in Clinical Psychology in order to cover expenses for clinical supervision services provided by Registered Professional Psychologists. Payment of Fees Fees must be paid prior to registration through the web using the [**ePayments (JCC SMART)** System.](https://applications.ucy.ac.cy/payments/PAYMENTS.view_category) Postgraduate Student Funding Apart from scholarships offered by the State, the University of Cyprus may subsidize a postgraduate student who offers to work as an assistant in covering the needs of his/her department or other departments. Assistantships may involve assisting in teaching, tutorials, help with assignments, lab supervision, grading, etc.\n---\n# Fees Fees for Doctoral Degree Students **Holders of Master's degrees:** * PhD students holders of Master's degrees: Total fees €4.000. **Non-holders of Master degree:** * Total fees €6.500, provided that students complete the requirements of their programme of study and obtain their PhD in six academic years (12 semesters). * Each year of study after the 6 academic years, with a maximum length of studies being 8 academic years (16 semesters) is charged with fees at €1.250 for each academic year (€625 per semester). (The maximum fees charged are €9.000) **Doctoral Programme of Clinical Psychology** * To the fees of the Doctoral Programme of Clinical Psychology is added a clinical practicum fee, amounting to €1.000 which is used for hiring supervision services from registered professional psychologists."
What can graduates be admitted to after completing their studies?,1.0000001192092896,Doctoral Programmes.,Doctoral Programmes.,"Drop and Withdrawal from Courses](#tab-68153158ef400-8) * [Schedule of Classes](#tab-68153158ef400-9) * [Academic Calendar](#tab-68153158ef400-10) * [Online Order of Certifications/Verifications/Translation of Degrees](#tab-68153158ef400-11) * [Postgraduate Prospectus](#tab-68153158ef400-12) * [Postgraduate Studies Rules](#tab-68153158ef400-13) Students that have been offered a place at a graduate programme at the University of Cyprus will have to: a) Accept the place through the online applications system. b) Pay electronically the deposit of the tuition fees to secure the offered place, from the link in the acceptance letter (email) - through the JCC system only.\n---\n# Admission Requirements Applicants must have a University degree awarded by an accredited institution in the country where it operates, or a degree evaluated as equivalent to a University degree by the Cyprus Council for the Recognition of Higher Education Qualifications (KY.S.A.T.S). Individuals who will be awarded a University degree or Graduation certificate fulfilling the necessary criteria by the end of the week that precedes registration week, are also eligible to submit an application. --- **Applications for a Postgraduate Programme should include the following:** --- ![epilogi](https://www.ucy.ac.cy/graduateschool/wp-content/uploads/sites/45/2022/01/epilogi.png) * Application through the Online Application System of the UCy. * Copies of University Degrees or a statement of expected graduation in the month preceding enrolment in the postgraduate programme. * University Transcripts as appropriate. * Curriculum Vitae. * A short statement (max.\n---\nFor example, in urban or developing population areas and industrial centres, civil and environmental engineers serve the public as planners, designers, and supervisors of transportation systems, water resources projects, pollution control facilities, private and public utility enterprises. #### **Access to Further Studies** Graduates can be admitted to Doctoral Programmes.\n---\nFor example, in urban or developing population areas and industrial centres, civil and environmental engineers serve the public as planners, designers, and supervisors of transportation systems, water resources projects, pollution control facilities, private and public utility enterprises. #### **Access to Further Studies** Graduates can be admitted to Doctoral Programmes.\n---\nIt is possible at a later stage to return to the information you have entered, make any necessary changes, complete the process and submit your application. After submitting your application, you can check at which stage of the process the application is. - For **Master's programmes** click **[here.](https://www.ucy.ac.cy/graduateschool/master-programmes-of-study/?lang=en/)** - For **PhD programmes** click **[here."
Ποιο είναι το ακαδημαϊκό έτος για το οποίο προκηρύσσονται θέσεις μετεπτυχιακών προγραμμάτων;,0.9932361245155334,2025-2026,2025/2026,"για εισδοχή κατά το ακαδημαϊκό έτος 2023-24.\n---\nανακοινώνει την προκήρυξη των θέσεων για τα μεταπτυχιακά προγράμματα Μάστερ και Διδακτορικού επιπέδου για το ακαδημαϊκό έτος **2025-2026** με εισδοχή τον **Σεπτέμβριο 2025.\n---\n# ΠΡΟΚΗΡΥΞΗ ΘΕΣΕΩΝ ΜΕΤΑΠΤΥΧΙΑΚΩΝ ΠΡΟΓΡΑΜΜΑΤΩΝ ΓΙΑ ΤΟ ΧΕΙΜΕΡΙΝΟ ΕΞΑΜΗΝΟ ΤΟΥ ΑΚΑΔΗΜΑΪΚΟΥ ΕΤΟΥΣ 2025/2026 – ΕΙΣΔΟΧΗ\n---\n2025 #### [Τμήμα Βιολογικών Επιστημών – Προκήρυξη Θέσεων Μεταπτυχιακών Προγραμμάτων για το Χειμερινό Εξάμηνο του Ακαδημαϊκού Έτους 2025/2026 – Εισδοχή Σεπτέμβριος 2025](https://www.ucy.ac.\n---\nπροέλευσης τους. Περίοδος Υποβολής Αιτήσεων: - περί τα μέσα Μαρτίου και μέσα Οκτωβρίου εκάστου έτους, για εισδοχή από το επόμενο ακαδημαϊκό εξάμηνο,"
What is the phone number for information about Προπτυχιακές Σπουδές (Undergraduate Studies) at Πανεπιστήμιο Κύπρου (University of Cyprus)?,1.0,+357-22-894021,+357-22-894021,20537 1678 Λευκωσία Κύπρος #### Επικοινωνία Πληροφορίες για Προπτυχιακές Σπουδές : +357-22-894021 : [[email protected]](/cdn-cgi/l/email-protection) Πληροφορίες για Μεταπτυχιακές Σπουδές : +357-22-894044 : [[email protected]](/cdn-cgi/l/email-protection) [© Πανεπιστήμιο Κύπρου](https://www.ucy.ac.cy).\n---\n20537 1678 Λευκωσία Κύπρος #### Επικοινωνία Πληροφορίες για Προπτυχιακές Σπουδές : +357-22-894021 : [[email protected]](/cdn-cgi/l/email-protection) Πληροφορίες για Μεταπτυχιακές Σπουδές : +357-22-894044 : [[email protected]](/cdn-cgi/l/email-protection) [© Πανεπιστήμιο Κύπρου](https://www.ucy.ac.cy).\n---\n20537 1678 Λευκωσία Κύπρος #### Επικοινωνία Πληροφορίες για Προπτυχιακές Σπουδές : +357-22-894021 : [[email protected]](/cdn-cgi/l/email-protection) Πληροφορίες για Μεταπτυχιακές Σπουδές : +357-22-894044 : [[email protected]](/cdn-cgi/l/email-protection) [© Πανεπιστήμιο Κύπρου](https://www.ucy.ac.cy).\n---\nΘ. 20537 1678 Λευκωσία Κύπρος #### Επικοινωνία Πληροφορίες για Προπτυχιακές Σπουδές : +357-22-894021 : [[email protected]](/cdn-cgi/l/email-protection) Πληροφορίες για Μεταπτυχιακές Σπουδές : +357-22-894044 : [[email protected]](/cdn-cgi/l/email-protection) [© Πανεπιστήμιο Κύπρου](https://www.ucy.ac.cy).\n---\nΘ. 20537 1678 Λευκωσία Κύπρος #### Επικοινωνία Πληροφορίες για Προπτυχιακές Σπουδές : +357-22-894021 : [[email protected]](/cdn-cgi/l/email-protection) Πληροφορίες για Μεταπτυχιακές Σπουδές : +357-22-894044 : [[email protected]](/cdn-cgi/l/email-protection) [© Πανεπιστήμιο Κύπρου](https://www.ucy.ac.cy).
